"0;Train rentré;train rentré",
"1;Train sorti;train sorti",
"2;Volet rentré;volet rentré",
"3;Volet sorti;volet sorti",
"4;Aterrissage;aterrissage",
"5;Décolage;décolage",
"6;Ecolage;écolage",
"7;Fin écolage;fin écolage",
"8;Moteur coupé;moteur coupé",
"9;Moteur armé;moteur armé !",
"10;volet position 1;volet position 1",
"11;volet position 2;volet position 2",
"12;mode gratte;mode gratte",
"13;mode finesse;mode finesse",
"14;mode papillon;mode papillon",
"15;mode vitesse;mode vitesse",
"16;mode snapflap;mode snapflap",
"17;libre 17;libre 17",
"18;libre 18;libre 18",
"19;libre 19;libre 19",
"20;Phase de vol 0;phase de vol 0",
"21;phase de vol 1;phase de vol 1",
"22;phase de vol 2;phase de vol 2",
"23;phase de vol 3;phase de vol 3",
"24;phase de vol 4;phase de vol 4",
"25;phase de vol 5;phase de vol 5",
"26;phase de vol;phase de vol",
"27;début;début",
"28;fin;fin",
"29;libre 29;libre 29",
"30;mode acro;mode acro",
"31;mode stable;mode stable",
"32;baro activé;baro activé",
"33;baro désactivé;baro désactivé",
"34;compas activé;compas activé",
"35;compas désactivé;compas désactivé",
"36;headfree activé;aidefri activé",
"37;headfree désactivé;aidefri désactivé",
"38;GPS old;GPS olde",
"39;Fin GPS hold;Fin GPS olde",
"40;Retour maison;retour maison",
"41;Retour maison annulé;retour maison annulé",
"42;libre 42;libre 42",
"43;libre 43;libre 43",
"44;libre 44;libre 44",
"45;libre 45;libre 45",
"46;libre 46;libre 46",
"47;libre 47;libre 47",
"48;libre 48;libre 48",
"49;libre 49;libre 49",
"50;libre 50;libre 50",
"51;libre 51;libre 51",
"52;libre 52;libre 52",
"53;libre 53;libre 53",
"54;libre 54;libre 54",
"55;libre 55;libre 55",
"56;libre 56;libre 56",
"57;libre 57;libre 57",
"58;libre 58;libre 58",
"59;libre 59;libre 59",
"60;libre 60;libre 60",
"61;libre 61;libre 61",
"62;libre 62;libre 62",
"63;libre 63;libre 63",
"64;libre 64;libre 64",
"65;libre 65;libre 65",
"66;libre 66;libre 66",
"67;libre 67;libre 67",
"68;libre 68;libre 68",
"69;libre 69;libre 69",
"70;libre 70;libre 70",
"71;libre 71;libre 71",
"72;libre 72;libre 72",
"73;libre 73;libre 73",
"74;libre 74;libre 74",
"75;libre 75;libre 75",
"76;libre 76;libre 76",
"77;libre 77;libre 77",
"78;libre 78;libre 78",
"79;libre 79;libre 79",
"80;libre 80;libre 80",
"81;libre 81;libre 81",
"82;libre 82;libre 82",
"83;libre 83;libre 83",
"84;libre 84;libre 84",
"85;libre 85;libre 85",
"86;libre 86;libre 86",
"87;libre 87;libre 87",
"88;libre 88;libre 88",
"89;libre 89;libre 89",
"90;libre 90;libre 90",
"91;libre 91;libre 91",
"92;libre 92;libre 92",
"93;libre 93;libre 93",
"94;libre 94;libre 94",
"95;libre 95;libre 95",
"96;libre 96;libre 96",
"97;libre 97;libre 97",
"98;libre 98;libre 98",
"99;libre 99;libre 99",
"100;tu pilote comme un dieu !;tu pilote comme un dieu !",
"101;ton voisin pilote comme un manche !;ton voisin pilote comme un manche !",
"102;libre 102;libre 102",
"103;libre 103;libre 103",
"104;libre 104;libre 104",
"105;libre 105;libre 105",
"106;libre 106;libre 106",
"107;libre 107;libre 107",
"108;libre 108;libre 108",
"109;libre 109;libre 109",
"110;libre 110;libre 110",
"111;libre 111;libre 111",
"112;libre 112;libre 112",
"113;libre 113;libre 113",
